"time", "token price", "dai2usdc", "usdc2dai"
1578994106, 1.002026, 0.997561, 1.001621
1578994166, 1.002026, 0.997561, 1.001621
1578994227, 1.002026, 0.997561, 1.001621
1578994287, 1.002026, 0.997561, 1.001621
1578994348, 1.002026, 0.997561, 1.001621
1578994408, 1.002026, 0.997561, 1.001621
1578994469, 1.002026, 0.997561, 1.001621
1578994529, 1.002027, 0.997561, 1.001621
1578994590, 1.002027, 0.997561, 1.001621
1578994651, 1.002027, 0.997561, 1.001621
1578994711, 1.002027, 0.997561, 1.001621
1578994772, 1.002027, 0.997561, 1.001621
1578994832, 1.002027, 0.997561, 1.001621
1578994893, 1.002027, 0.997491, 1.001691
1578994953, 1.002027, 0.997491, 1.001691
1578995014, 1.002028, 0.997491, 1.001691
1578995074, 1.002028, 0.997491, 1.001691
1578995135, 1.002028, 0.997491, 1.001691
1578995196, 1.002028, 0.997491, 1.001691
1578995256, 1.002028, 0.997491, 1.001691
1578995317, 1.002028, 0.997491, 1.001691
1578995377, 1.002028, 0.997491, 1.001691
1578995438, 1.002028, 0.997491, 1.001691
1578995498, 1.002028, 0.997491, 1.001691
1578995631, 1.002029, 0.997491, 1.001691
1578995691, 1.002029, 0.997491, 1.001691
1578995751, 1.002029, 0.997491, 1.001691
1578995812, 1.002029, 0.997491, 1.001691
1578995872, 1.002029, 0.997491, 1.001691
1578995933, 1.002029, 0.997491, 1.001691
1578995993, 1.002029, 0.997491, 1.001691
1578996054, 1.002029, 0.997491, 1.001691
1578996114, 1.002030, 0.997491, 1.001691
1578996175, 1.002030, 0.997491, 1.001691
1578996235, 1.002030, 0.997491, 1.001691
1578996296, 1.002030, 0.997491, 1.001691
1578996356, 1.002030, 0.997491, 1.001691
1578996417, 1.002030, 0.997491, 1.001691
1578996477, 1.002030, 0.997491, 1.001691
1578996538, 1.002030, 0.997491, 1.001691
1578996598, 1.002031, 0.997491, 1.001691
1578996659, 1.002031, 0.997491, 1.001691
1578996720, 1.002031, 0.997491, 1.001691
1578996780, 1.002031, 0.997491, 1.001691
1578996841, 1.002031, 0.997491, 1.001691
1578996901, 1.002031, 0.997491, 1.001691
1578996962, 1.002031, 0.997491, 1.001691
1578997022, 1.002031, 0.997491, 1.001691
1578997083, 1.002032, 0.997491, 1.001691
1578997143, 1.002032, 0.997491, 1.001691
1578997204, 1.002032, 0.997491, 1.001691
1578997264, 1.002032, 0.997491, 1.001691
1578997325, 1.002032, 0.997491, 1.001691
1578997385, 1.002032, 0.997491, 1.001691
1578997446, 1.002032, 0.997491, 1.001691
1578997506, 1.002032, 0.997491, 1.001691
1578997567, 1.002032, 0.997491, 1.001691
1578997627, 1.002033, 0.997491, 1.001691
1578997688, 1.002033, 0.997491, 1.001691
1578997748, 1.002033, 0.997491, 1.001691
1578997809, 1.002033, 0.997491, 1.001691
1578997869, 1.002033, 0.997491, 1.001691
1578997930, 1.002033, 0.997491, 1.001691
1578997990, 1.002034, 0.997491, 1.001691
1578998051, 1.002034, 0.997491, 1.001691
1578998111, 1.002034, 0.997491, 1.001691
1578998172, 1.002034, 0.997491, 1.001691
1578998233, 1.002034, 0.997491, 1.001691
1578998293, 1.002034, 0.997491, 1.001691
1578998354, 1.002034, 0.997491, 1.001691
1578998414, 1.002034, 0.997491, 1.001691
1578998475, 1.002034, 0.997491, 1.001691
1578998536, 1.002035, 0.997491, 1.001691
1578998596, 1.002035, 0.997685, 1.001497
1578998657, 1.002035, 0.997685, 1.001497
1578998717, 1.002035, 0.997685, 1.001497
1578998778, 1.002035, 0.997685, 1.001497
1578998838, 1.002035, 0.997685, 1.001497
1578998899, 1.002035, 0.997685, 1.001497
1578998959, 1.002035, 0.997685, 1.001497
1578999020, 1.002035, 0.997685, 1.001497
1578999081, 1.002036, 0.997685, 1.001497
1578999141, 1.002036, 0.997685, 1.001497
1578999201, 1.002036, 0.997685, 1.001497
1578999262, 1.002036, 0.997685, 1.001497
1578999322, 1.002036, 0.997685, 1.001497
1578999383, 1.002036, 0.997685, 1.001497
1578999443, 1.002036, 0.997685, 1.001497
1578999504, 1.002036, 0.997685, 1.001497
1578999564, 1.002037, 0.997685, 1.001497
1578999625, 1.002037, 0.997685, 1.001497
1578999685, 1.002037, 0.997685, 1.001497
1578999746, 1.002037, 0.997685, 1.001497
1578999806, 1.002037, 0.997685, 1.001497
1578999867, 1.002037, 0.997685, 1.001497
1578999927, 1.002037, 0.997685, 1.001497
1578999987, 1.002038, 0.997685, 1.001497
1579000048, 1.002038, 0.997685, 1.001497
1579000108, 1.002038, 0.997685, 1.001497
1579000169, 1.002038, 0.997685, 1.001497
1579000229, 1.002038, 0.997685, 1.001497
1579000290, 1.002039, 0.997685, 1.001497
1579000350, 1.002039, 0.997685, 1.001497
1579000411, 1.002039, 0.997685, 1.001497
1579000471, 1.002038, 0.997685, 1.001497
1579000532, 1.002039, 0.997685, 1.001497
1579000592, 1.002039, 0.997685, 1.001497
1579000653, 1.002039, 0.997685, 1.001497
1579000713, 1.002039, 0.997685, 1.001497
1579000774, 1.002039, 0.997685, 1.001497
1579000834, 1.002039, 0.997685, 1.001497
1579000895, 1.002039, 0.997685, 1.001497
1579000955, 1.002039, 0.997685, 1.001497
1579001016, 1.002039, 0.997685, 1.001497
1579001076, 1.002040, 0.997685, 1.001497
1579001137, 1.002040, 0.997685, 1.001497
1579001197, 1.002040, 0.997685, 1.001497
1579001258, 1.002040, 0.997685, 1.001497
1579001318, 1.002040, 0.997685, 1.001497
1579001378, 1.002040, 0.997685, 1.001497
1579001439, 1.002040, 0.997685, 1.001497
1579001499, 1.002040, 0.997685, 1.001497
1579001560, 1.002040, 0.997685, 1.001497
1579001620, 1.002041, 0.997685, 1.001497
1579001681, 1.002041, 0.997685, 1.001497
1579001741, 1.002041, 0.997685, 1.001497
1579001802, 1.002041, 0.997685, 1.001497
1579001862, 1.002041, 0.997685, 1.001497
1579001923, 1.002041, 0.997685, 1.001497
1579001984, 1.002041, 0.997685, 1.001497
1579002044, 1.002041, 0.997685, 1.001497
1579002105, 1.002041, 0.997685, 1.001497
1579002165, 1.002041, 0.997685, 1.001497
1579002225, 1.002042, 0.997685, 1.001497
1579002286, 1.002042, 0.997685, 1.001497
1579002346, 1.002042, 0.997685, 1.001497
1579002407, 1.002042, 0.997685, 1.001497
1579002467, 1.002042, 0.997685, 1.001497
1579002528, 1.002042, 0.997685, 1.001497
1579002588, 1.002042, 0.997685, 1.001497
1579002649, 1.002042, 0.997685, 1.001497
1579002709, 1.002043, 0.997685, 1.001497
1579002770, 1.002043, 0.997685, 1.001497
1579002830, 1.002043, 0.997685, 1.001497
1579002891, 1.002043, 0.997685, 1.001497
1579002951, 1.002043, 0.997685, 1.001497
1579003012, 1.002043, 0.997685, 1.001497
1579003072, 1.002043, 0.997685, 1.001497
1579003133, 1.002043, 0.997685, 1.001497
1579003193, 1.002043, 0.997685, 1.001497
1579003254, 1.002043, 0.997685, 1.001497
1579003314, 1.002044, 0.997685, 1.001497
1579003375, 1.002044, 0.997685, 1.001497
1579003435, 1.002044, 0.997685, 1.001497
1579003496, 1.002044, 0.997685, 1.001497
1579003556, 1.002044, 0.997685, 1.001497
1579003617, 1.002044, 0.997685, 1.001497
1579003677, 1.002044, 0.997685, 1.001497
1579003738, 1.002044, 0.997685, 1.001497
1579003798, 1.002044, 0.997685, 1.001497
